DrawDate,Year,Month,FirstPrize,Last2,Front3_1,Front3_2,Back3_1,Back3_2,Back3_3,Back3_4
2533-01-16,2533,1,3992239,97,,,898,234,288,284
2533-02-01,2533,2,1078496,82,,,756,481,259,104
2533-02-16,2533,2,3732892,01,,,889,596,386,601
2533-03-01,2533,3,4968902,15,,,624,452,087,567
2533-03-16,2533,3,3240205,88,,,443,275,775,559
2533-04-01,2533,4,4734251,39,,,301,637,195,717
2533-04-16,2533,4,5092890,84,,,664,059,912,489
2533-05-02,2533,5,5898868,01,,,186,644,668,078
2533-05-16,2533,5,5071272,34,,,565,815,942,465
2533-06-01,2533,6,2355474,72,,,118,115,227,492
2533-06-16,2533,6,3530344,65,,,878,144,198,371
2533-07-01,2533,7,1076835,43,,,043,641,038,295
2533-07-16,2533,7,3814178,11,,,342,619,112,770
2533-08-01,2533,8,1867185,92,,,579,070,973,445
2533-08-16,2533,8,1671935,43,,,325,746,361,644
2533-09-01,2533,9,1622380,83,,,862,938,161,639
2533-09-16,2533,9,5202390,55,,,461,211,085,747
2533-10-01,2533,10,5738808,37,,,043,977,058,748
2533-10-16,2533,10,5626303,56,,,351,928,923,431
2533-11-01,2533,11,4380230,82,,,694,516,619,829
2533-11-16,2533,11,1226536,06,,,426,020,721,050
2533-12-01,2533,12,4771944,88,,,237,586,692,444
2533-12-16,2533,12,4407799,21,,,708,359,171,238
2533-12-30,2533,12,2190949,05,,,516,367,330,962
2534-01-16,2534,1,5328736,29,,,649,645,225,388
2534-02-01,2534,2,5396496,75,,,079,455,458,087
2534-02-16,2534,2,3223780,33,,,992,658,242,596
2534-03-01,2534,3,4598076,72,,,950,783,676,928
2534-03-16,2534,3,5891641,59,,,540,715,527,866
2534-04-01,2534,4,1606864,03,,,819,416,103,008
2534-04-16,2534,4,4824037,57,,,565,711,970,206
2534-05-02,2534,5,4222124,63,,,536,296,630,836
2534-05-16,2534,5,2532303,63,,,931,269,688,802
2534-06-01,2534,6,2496376,77,,,318,303,485,804
2534-06-16,2534,6,5364632,91,,,370,785,761,268
2534-07-01,2534,7,4441724,58,,,771,134,196,766
2534-07-16,2534,7,1671946,62,,,822,846,951,882
2534-08-01,2534,8,6580541,11,,,459,509,753,947
2534-08-16,2534,8,3746551,89,,,845,377,044,182
2534-09-01,2534,9,6700430,49,,,081,237,661,119
2534-09-16,2534,9,4790449,18,,,114,298,220,381
2534-10-01,2534,10,2730444,96,,,978,318,977,928
2534-10-16,2534,10,2078202,38,,,585,566,338,314
2534-11-01,2534,11,7894285,78,,,516,537,183,272
2534-11-16,2534,11,4373528,08,,,979,477,937,643
2534-12-01,2534,12,1470741,05,,,540,794,006,602
2534-12-16,2534,12,7241436,88,,,613,667,717,597
2534-12-30,2534,12,3208301,76,,,318,087,182,917
2535-01-16,2535,1,1149428,18,,,034,543,672,132
2535-02-01,2535,2,5986924,63,,,936,952,683,944
2535-02-16,2535,2,1868701,94,,,641,849,349,599
2535-03-01,2535,3,7291524,60,,,870,902,024,231
2535-03-16,2535,3,1218353,48,,,004,578,543,737
2535-04-01,2535,4,2244704,03,,,624,863,013,242
2535-04-16,2535,4,2699374,10,,,836,662,139,325
2535-05-02,2535,5,5765397,86,,,079,444,732,104
2535-05-16,2535,5,2827496,59,,,333,738,246,890
2535-06-01,2535,6,5184191,29,,,169,351,245,729
2535-06-16,2535,6,5569432,92,,,392,880,914,221
2535-07-01,2535,7,5119968,56,,,999,813,561,702
2535-07-16,2535,7,7954430,87,,,492,324,756,339
2535-08-01,2535,8,6697778,86,,,712,935,593,575
2535-08-16,2535,8,6234607,91,,,978,251,422,151
2535-09-01,2535,9,1446615,68,,,060,307,125,056
2535-09-16,2535,9,6874108,88,,,221,127,030,623
2535-10-01,2535,10,6379578,71,,,752,765,654,300
2535-10-16,2535,10,3576993,79,,,412,312,037,964
2535-11-01,2535,11,6267821,35,,,879,263,789,046
2535-11-16,2535,11,3685682,45,,,223,632,049,295
2535-12-01,2535,12,7120927,65,,,019,406,153,063
2535-12-16,2535,12,4826531,92,,,945,601,383,851
2535-12-30,2535,12,6662150,23,,,510,563,810,795
2536-01-16,2536,1,5423816,25,,,419,335,947,620
2536-02-01,2536,2,7459337,21,,,171,767,507,986
2536-02-16,2536,2,7549455,41,,,165,031,850,034
2536-03-01,2536,3,4006281,19,,,449,968,065,492
2536-03-16,2536,3,7680699,98,,,554,547,731,509
2536-04-01,2536,4,5825558,89,,,859,255,060,217
2536-04-16,2536,4,5632018,09,,,265,995,970,200
2536-05-02,2536,5,7749508,99,,,532,916,661,783
2536-05-16,2536,5,1633983,53,,,109,740,812,606
2536-06-01,2536,6,3488477,61,,,813,645,011,815
2536-06-16,2536,6,2119871,39,,,146,955,961,223
2536-07-01,2536,7,3820203,29,,,729,189,206,213
2536-07-16,2536,7,5686061,21,,,865,873,702,818
2536-08-01,2536,8,4137744,06,,,273,778,446,905
2536-08-16,2536,8,4088644,86,,,030,260,200,033
2536-09-01,2536,9,2812096,00,,,738,227,181,218
2536-09-16,2536,9,4286755,11,,,296,963,890,504
2536-10-01,2536,10,3415973,26,,,489,401,928,682
2536-10-16,2536,10,7611764,58,,,254,216,684,566
2536-11-01,2536,11,3908940,94,,,701,103,895,626
2536-11-16,2536,11,7515123,82,,,410,507,184,112
2536-12-01,2536,12,3670638,98,,,294,139,959,608
2536-12-16,2536,12,4043500,69,,,646,156,478,253
2536-12-30,2536,12,2669189,72,,,874,902,069,037
2537-01-16,2537,1,4791270,23,,,873,237,845,708
2537-02-01,2537,2,5984685,05,,,173,746,268,396
2537-02-16,2537,2,7679044,76,,,943,520,753,486
2537-03-01,2537,3,3373731,41,,,082,631,008,820
2537-03-16,2537,3,1723336,19,,,382,166,515,185
